sample_ts;northHeading;IMULatAcceleration;IMULgtAcceleration;IMUVerAcceleration;SteeringWhlAngle;IMURollRate;IMUYawRate;groundSpeed
1584853213806519;50.76155;;;;;;;
1584853214006488;51.02622;;;;;;;
1584853214206428;51.30387;;;;;;;
1584853214406481;51.56814;;;;;;;
1584853214606459;51.84232;;;;;;;
1584853214806530;52.13134;;;;;;;
1584853215006528;52.41528;;;;;;;
1584853215206451;52.69866;;;;;;;
1584853215406574;52.96295;;;;;;;
1584853215606437;53.23251;;;;;;;
1584853215806509;53.47499;;;;;;;
1584853216006585;53.70317;;;;;;;
1584853216206486;53.94122;;;;;;;
1584853216406574;54.18311;;;;;;;
1584853216606494;54.41832;;;;;;;
1584853216806489;54.66144;;;;;;;
1584853217006524;54.90974;;;;;;;
1584853217206477;55.17814;;;;;;;
1584853217406551;55.45134;;;;;;;
1584853217606546;55.73273;;;;;;;
1584853217806526;56.05197;;;;;;;
1584853218006509;56.40234;;;;;;;
1584853218206485;56.75345;;;;;;;
1584853218406555;57.10513;;;;;;;
1584853218606549;57.48335;;;;;;;
1584853218806559;57.8989;;;;;;;
1584853219006548;58.32719;;;;;;;
1584853219206539;58.7673;;;;;;;
1584853219406537;59.19086;;;;;;;
1584853219606514;59.61351;;;;;;;
1584853219806507;60.03152;;;;;;;
1584853220006510;60.43902;;;;;;;
1584853220206502;60.82785;;;;;;;
1584853220406578;61.21537;;;;;;;
1584853220606471;61.60771;;;;;;;
1584853220806530;61.98397;;;;;;;
1584853221006562;62.31033;;;;;;;
1584853221206511;62.54427;;;;;;;
1584853221406599;62.723;;;;;;;
1584853221606539;62.89433;;;;;;;
1584853221806559;63.05938;;;;;;;
1584853222006520;63.19043;;;;;;;
1584853222206512;63.32153;;;;;;;
1584853222406532;63.44325;;;;;;;
1584853222606506;63.52894;;;;;;;
1584853222806633;63.5974;;;;;;;
1584853223006631;63.63815;;;;;;;
1584853223206499;63.62218;;;;;;;
1584853223406544;63.54568;;;;;;;
1584853223606508;63.43882;;;;;;;
1584853223806596;63.31845;;;;;;;
1584853224006577;63.21225;;;;;;;
1584853224206555;63.14466;;;;;;;
1584853224406553;63.10322;;;;;;;
1584853224606513;63.06777;;;;;;;
1584853224806571;63.03328;;;;;;;
1584853225006633;63.02213;;;;;;;
1584853225206519;62.99253;;;;;;;
1584853225406570;62.9613;;;;;;;
1584853225606572;62.90531;;;;;;;
1584853225806637;62.7984;;;;;;;
1584853226006643;62.6475;;;;;;;
1584853226206553;62.41127;;;;;;;
1584853226406677;62.07974;;;;;;;
1584853226606629;61.73698;;;;;;;
1584853226806638;61.63728;;;;;;;
1584853227006575;61.65667;;;;;;;
1584853227206522;61.46709;;;;;;;
1584853227406538;61.25614;;;;;;;
1584853227606518;61.17538;;;;;;;
1584853227806528;61.01336;;;;;;;
1584853228006616;60.77477;;;;;;;
1584853228206546;60.47892;;;;;;;
1584853228406546;60.17656;;;;;;;
1584853228606509;59.78802;;;;;;;
1584853228806665;59.30599;;;;;;;
1584853229006627;58.74062;;;;;;;
1584853229206561;58.22018;;;;;;;
1584853229406576;57.72023;;;;;;;
1584853229606501;57.30003;;;;;;;
1584853229806582;56.93227;;;;;;;
1584853230006621;56.57785;;;;;;;
1584853230206526;56.26442;;;;;;;
1584853230406599;55.96589;;;;;;;
1584853230606509;55.67739;;;;;;;
1584853230806646;55.36798;;;;;;;
1584853231006615;55.06641;;;;;;;
1584853231206569;54.78376;;;;;;;
1584853231406615;54.53492;;;;;;;
1584853231606656;54.33156;;;;;;;
1584853231806726;54.13027;;;;;;;
1584853232006626;53.92194;;;;;;;
1584853232206640;53.70855;;;;;;;
1584853232406609;53.4988;;;;;;;
1584853232606557;53.27528;;;;;;;
1584853232806647;53.00909;;;;;;;
1584853233006686;52.63076;;;;;;;
1584853233206537;52.16664;;;;;;;
1584853233406621;51.65852;;;;;;;
1584853233606689;51.06146;;;;;;;
1584853233806653;50.36102;;;;;;;
1584853234006648;49.66172;;;;;;;
1584853234206573;48.97786;;;;;;;
1584853234406702;48.31239;;;;;;;
1584853234606632;47.65407;;;;;;;
1584853234806728;46.9082;;;;;;;
1584853235006633;46.09309;;;;;;;
1584853235206579;45.28048;;;;;;;
1584853235406654;44.45136;;;;;;;
1584853235606698;43.62564;;;;;;;
1584853235806633;42.83996;;;;;;;
1584853236006736;42.09536;;;;;;;
1584853236206584;41.37833;;;;;;;
1584853236406670;40.69372;;;;;;;
1584853236606669;40.02316;;;;;;;
1584853236806651;39.35802;;;;;;;
1584853237006652;38.68341;;;;;;;
1584853237206598;37.97225;;;;;;;
1584853237406652;37.25938;;;;;;;
1584853237606654;36.57569;;;;;;;
1584853237806690;35.88641;;;;;;;
1584853238006698;35.21146;;;;;;;
1584853238206684;34.48706;;;;;;;
1584853238406658;33.7219;;;;;;;
1584853238606623;32.9388;;;;;;;
1584853238806638;32.12872;;;;;;;
1584853239006724;31.34706;;;;;;;
1584853239206611;30.57428;;;;;;;
1584853239406716;29.82204;;;;;;;
1584853239606657;29.08286;;;;;;;
1584853239806678;28.36336;;;;;;;
1584853240006719;27.70359;;;;;;;
1584853240206624;27.1167;;;;;;;
1584853240406685;26.57379;;;;;;;
1584853240606648;26.07088;;;;;;;
1584853240806762;25.65223;;;;;;;
1584853241006653;25.33587;;;;;;;
1584853241206679;25.13989;;;;;;;
1584853241406669;24.96964;;;;;;;
1584853241606692;24.82417;;;;;;;
1584853241806726;24.69037;;;;;;;
1584853242006669;24.562;;;;;;;
1584853242206653;24.33944;;;;;;;
1584853242406653;23.94908;;;;;;;
1584853242606670;23.35483;;;;;;;
1584853242806674;22.7401;;;;;;;
1584853243006691;22.16755;;;;;;;
1584853243206701;21.26637;;;;;;;
1584853243406718;20.06685;;;;;;;
1584853243606674;18.78718;;;;;;;
1584853243806668;17.50659;;;;;;;
1584853244006696;16.25663;;;;;;;
1584853244206665;15.00176;;;;;;;
1584853244406709;13.7466;;;;;;;
1584853244606666;12.45419;;;;;;;
1584853244806682;11.23987;;;;;;;
1584853245006709;10.21001;;;;;;;
1584853245206655;9.475029;;;;;;;
1584853245406696;8.912175;;;;;;;
1584853245606701;8.485343;;;;;;;
1584853245806690;8.208126;;;;;;;
1584853246006842;7.979524;;;;;;;
1584853246206684;7.760021;;;;;;;
1584853246406803;7.546788;;;;;;;
1584853246606675;7.329889;;;;;;;
1584853246806670;7.118176;;;;;;;
1584853247006775;6.892367;;;;;;;
1584853247206689;6.688901;;;;;;;
1584853247406710;6.510154;;;;;;;
1584853247606726;6.336406;;;;;;;
1584853247806689;6.18483;;;;;;;
1584853248006718;6.06077;;;;;;;
1584853248206780;5.98768;;;;;;;
1584853248406711;5.973076;;;;;;;
1584853248606705;5.987791;;;;;;;
1584853248806695;6.046193;;;;;;;
1584853249006745;6.081158;;;;;;;
1584853249206765;6.060712;;;;;;;
1584853249406801;5.985806;;;;;;;
1584853249606691;5.934178;;;;;;;
1584853249806741;5.906401;;;;;;;
1584853250006727;5.89109;;;;;;;
1584853250206770;5.886671;;;;;;;
1584853250406725;5.913;;;;;;;
1584853250606755;5.972421;;;;;;;
1584853250806742;6.03897;;;;;;;
1584853251006752;6.0962;;;;;;;
1584853251206702;6.14008;;;;;;;
1584853251406730;6.171843;;;;;;;
1584853251606710;6.196481;;;;;;;
1584853251806748;6.218325;;;;;;;
1584853252006808;6.232699;;;;;;;
1584853252206734;6.258273;;;;;;;
1584853252406837;6.299607;;;;;;;
1584853252606719;6.412648;;;;;;;
1584853252806714;6.516313;;;;;;;
1584853253006792;6.582953;;;;;;;
1584853253206756;6.623834;;;;;;;
1584853253406853;6.639883;;;;;;;
1584853253606810;6.629233;;;;;;;
1584853253806713;6.616242;;;;;;;
